EPX,Travel Agency,Online,Cancellation Plan,No,32,CHINA,28.0,0.0,35
KML,Travel Agency,Online,Value Plan,No,56,INDONESIA,28.0,10.64,48
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,5,INDIA,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,8,JAPAN,0.0,0.0,27
EPX,Travel Agency,Online,Cancellation Plan,No,30,PHILIPPINES,14.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10,PHILIPPINES,39.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,THAILAND,53.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,25,CHINA,18.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,5,PHILIPPINES,80.0,0.0,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,36,AUSTRALIA,59.4,35.64,42
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,1,THAILAND,20.0,0.0,28
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,43,INDONESIA,24.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,27,CAMBODIA,34.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,209,UNITED STATES,112.0,0.0,28
EPX,Travel Agency,Online,Cancellation Plan,No,17,PHILIPPINES,13.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,56,CHINA,13.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,11,INDONESIA,10.0,0.0,31
JZI,Airlines,Online,Basic Plan,No,43,PHILIPPINES,42.0,14.7,43
EPX,Travel Agency,Online,Cancellation Plan,No,32,"KOREA, REPUBLIC OF",73.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,58,THAILAND,39.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,2,MALAYSIA,20.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,CHINA,38.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,20,CHINA,20.0,0.0,36
C2B,Airlines,Online,Bronze Plan,Yes,15,SINGAPORE,60.0,15.0,16
RAB,Airlines,Online,Value Plan,No,4,BRUNEI DARUSSALAM,15.0,6.0,28
EPX,Travel Agency,Online,Cancellation Plan,No,72,NEW ZEALAND,10.0,0.0,36
KML,Travel Agency,Online,Premier Plan,No,5,INDONESIA,38.0,14.44,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,16,THAILAND,69.3,41.58,38
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,22,AUSTRALIA,19.8,11.88,31
EPX,Travel Agency,Online,Cancellation Plan,No,162,INDIA,10.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,57,CAMBODIA,24.0,0.0,36
JZI,Airlines,Online,Basic Plan,No,52,CHINA,35.0,12.25,35
JZI,Airlines,Online,Basic Plan,No,3,THAILAND,18.0,6.3,69
EPX,Travel Agency,Online,Cancellation Plan,No,10,UNITED STATES,10.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,No,16,INDIA,30.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,No,10,SINGAPORE,21.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,9,CAMBODIA,10.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,84,UNITED KINGDOM,112.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,4,CHINA,10.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,94,INDONESIA,20.0,0.0,40
JZI,Airlines,Online,Basic Plan,No,9,UNITED ARAB EMIRATES,36.0,12.6,50
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,42,UNITED KINGDOM,39.6,23.76,54
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7,HONG KONG,21.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,1,SINGAPORE,20.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,5,SINGAPORE,21.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,56,AUSTRALIA,49.5,29.7,43
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,30,LAO PEOPLE'S DEMOCRATIC REPUBLIC,38.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,47,FRANCE,69.3,41.58,32
EPX,Travel Agency,Online,Cancellation Plan,No,2,FRANCE,41.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,47,INDONESIA,15.0,0.0,29
C2B,Airlines,Online,Annual Silver Plan,No,366,SINGAPORE,161.0,40.25,41
JZI,Airlines,Online,Basic Plan,No,1,HONG KONG,22.0,7.7,68
EPX,Travel Agency,Online,Cancellation Plan,No,11,INDONESIA,41.0,0.0,47
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,13,CHINA,48.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,25,SINGAPORE,-36.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,46,SINGAPORE,30.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,59,"TAIWAN, PROVINCE OF CHINA",22.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,17,THAILAND,23.0,0.0,56
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,19,SINGAPORE,41.0,0.0,31
C2B,Airlines,Online,Bronze Plan,No,30,SINGAPORE,59.15,14.79,37
EPX,Travel Agency,Online,Cancellation Plan,No,17,HUNGARY,80.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,No,18,SINGAPORE,49.0,0.0,36
LWC,Travel Agency,Online,Annual Travel Protect Gold,No,392,UNITED STATES,256.2,166.53,32
EPX,Travel Agency,Online,Cancellation Plan,No,7,INDIA,10.0,0.0,36
C2B,Airlines,Online,Annual Silver Plan,No,364,SINGAPORE,216.0,54.0,32
C2B,Airlines,Online,Silver Plan,No,116,SINGAPORE,41.5,10.38,34
EPX,Travel Agency,Online,Cancellation Plan,No,6,VIET NAM,12.0,0.0,36
JZI,Airlines,Online,Basic Plan,No,4,INDONESIA,22.0,7.7,33
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,20,INDONESIA,20.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,46,AUSTRALIA,79.2,47.52,35
EPX,Travel Agency,Online,Cancellation Plan,No,77,NEW ZEALAND,80.0,0.0,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,265,RUSSIAN FEDERATION,45.0,0.0,36
C2B,Airlines,Online,Silver Plan,No,42,SINGAPORE,213.0,53.25,29
EPX,Travel Agency,Online,Cancellation Plan,No,43,"MOLDOVA, REPUBLIC OF",14.0,0.0,36
C2B,Airlines,Online,Silver Plan,No,57,SINGAPORE,88.5,22.13,25
